Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,City,School Number,School or Citywide Complaint,pctFemale,pctMale,pctPacIslander,pctLatino,pctAmericanIndian,pctAsian,pctWhite,pctBlack,pctOther,pctEthnicTotal,pctPermResidentAlien,pctUSCitizen,pctRecPublicAssistance
Taxi and Limousine Commission,Taxi Complaint,Insurance Information Requested,Street,10024,NEW YORK,Unspecified,,Q3_pctFemale,,,,,,,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,10467,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,Q1_pctAmericanIndian,Q1_pctAsian,Q1_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10470,BRONX,Unspecified,,,,,,,,,,,,,,
New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,10459,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,Q2_pctBlack,,Q3_pctEthnicTotal,Q2_pctPermResidentAlien,Q2_pctUSCitizen,Q2_pctRecPublicAssistance
New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11369,EAST ELMHURST,Unspecified,,,,,,,,,,,,,,
New York City Police Department,Traffic,Congestion/Gridlock,Highway,10002,NEW YORK,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,Q3_pctAsian,Q1_pctWhite,,,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Central - Department of Education,School Maintenance,Graffiti,,,,Unspecified,,,,,,,,,,,,,,
New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,10023,NEW YORK,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,Q1_pctAsian,,Q2_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,10457,BRONX,Unspecified,,,,,,,,,,,,,,
New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10452,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11201,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,Q1_pctAsian,Q1_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Transportation,Street Condition,Unsafe Worksite,Street,10314,STATEN ISLAND,Unspecified,,,,,,,,,,,,,,
Department of Consumer Affairs,DCA / DOH New License Application Request,Full Term Mobile Food Vendor License,,,,Unspecified,,,,,,,,,,,,,,
Department of Consumer Affairs,Consumer Complaint,Contract Dispute,,10033,NEW YORK,Unspecified,,,,,,,,,,,,,,
Department of Consumer Affairs,Consumer Complaint,Damaged Vehicle,,11234,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,,Q2_pctWhite,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Consumer Affairs,Consumer Complaint,Damaged Vehicle,,10005,NEW YORK,Unspecified,,Q3_pctFemale,,,,,Q2_pctAsian,,Q2_pctBlack,,Q3_pctEthnicTotal,Q2_pctPermResidentAlien,Q2_pctUSCitizen,
Department of Consumer Affairs,Consumer Complaint,Exchange/Refund/Return,,11219,BROOKLYN,Unspecified,,Q3_pctFemale,Q1_pctMale,,,,,Q3_pctWhite,,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Consumer Affairs,Consumer Complaint,Illegal Tow,,11223,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,Q1_pctAsian,Q3_pctWhite,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Consumer Affairs,Consumer Complaint,Overcharge,,11429,QUEENS VILLAGE,Unspecified,,,,,,,,,,,,,,
New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11358,FLUSHING,Unspecified,,,,,,,,,,,,,,
Department of Buildings,General Construction/Plumbing,Facade - Defective/Cracking (Ll11/98),,10003,NEW YORK,Unspecified,,Q3_pctFemale,,,,,Q3_pctAsian,,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Park,11356,COLLEGE POINT,Q457,,,,,,,,,,,,,,
Department of Parks and Recreation,Maintenance or Facility,Rodent Sighting,Park,10035,NEW YORK,M208D,,,,,,,,,,,,,,
Department of Buildings,General Construction/Plumbing,Curb Cut/Driveway/Carport - Illegal,,10035,NEW YORK,Unspecified,,,,,,,,,,,,,,
Department of Sanitation,Graffiti,Graffiti,Comercial,11212,BROOKLYN,Unspecified,,Q3_pctFemale,Q1_pctMale,,Q1_pctLatino,,Q1_pctAsian,,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,
Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),,11433,JAMAICA,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Condition,"Rough,Pitted or Cracked Roads",Street,INTERSECTION,Unspecified,N,,,,,,,,,,,,,
Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,Street,11106,ASTORIA,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,PAINT - PLASTER,WALLS,RESIDENTIAL BUILDING,11225,BROOKLYN,Unspecified,,Q3_pctFemale,,,,,,Q3_pctWhite,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,RESIDENTIAL BUILDING,10040,NEW YORK,Unspecified,,Q3_pctFemale,Q1_pctMale,,Q2_pctLatino,,Q1_pctAsian,,Q1_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,RESIDENTIAL BUILDING,11235,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,Q1_pctAsian,Q2_pctWhite,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,RESIDENTIAL BUILDING,11207,BROOKLYN,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,RESIDENTIAL BUILDING,10128,NEW YORK,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,RESIDENTIAL BUILDING,11226,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,Q2_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,RESIDENTIAL BUILDING,11235,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,Q1_pctAsian,Q2_pctWhite,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,WINDOWS,RESIDENTIAL BUILDING,10457,BRONX,Unspecified,,,,,,,,,,,,,,
Lot Cleaning,Vacant Lot,8 Request to Clean Vacant Lot,Lot,10310,STATEN ISLAND,Unspecified,,,,,,,,,,,,,,
Lot Cleaning,Vacant Lot,8 Request to Clean Vacant Lot,Lot,11385,RIDGEWOOD,Unspecified,,,,,,,,,,,,,,
Lot Cleaning,Vacant Lot,8 Request to Clean Vacant Lot,Lot,11216,BROOKLYN,Unspecified,,,,,,,,,,,,,,
HRA Benefit Card Replacement,Benefit Card Replacement,Food Stamp,NYC Street Address,,,Unspecified,,,,,,,,,,,,,,
DOB Inspections - Queens,Construction,Re-Inspect - Rslve Objections,Street Address,11102,ASTORIA,Unspecified,,,,,,,,,,,,,,
BCC - Manhattan,Missed Collection (All Materials),2 Bulk-Missed Collection,Sidewalk,10026,NEW YORK,Unspecified,,,,,,,,,,,,,,
Economic Development Corporation,Noise - Helicopter,Other,Above Address,11217,BROOKLYN,Unspecified,,,,,,,,,,,,,,
BCC - Queens East,Missed Collection (All Materials),1R Missed Recycling-All Materials,Sidewalk,11354,FLUSHING,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,,Q2_pctOther,Q3_pctEthnicTotal,Q3_pctPermResidentAlien,,
Department of Environmental Protection,Noise,Noise: Construction Equipment (NC1),,11249,BROOKLYN,Unspecified,,,,,,,,,,,,,,
Department of Environmental Protection,Noise,Noise: Construction Equipment (NC1),,10305,STATEN ISLAND,Unspecified,,,,,,,,,,,,,,
Department of Environmental Protection,Noise,Noise: Construction Equipment (NC1),,10128,NEW YORK,Unspecified,,,,,,,,,,,,,,
Department of Health and Mental Hygiene,Unsanitary Animal Pvt Property,Animal Odor,3+ Family Apartment Building,10461,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,Q1_pctPacIslander,Q2_pctLatino,Q1_pctAmericanIndian,Q1_pctAsian,Q1_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,RESIDENTIAL BUILDING,10023,NEW YORK,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,Q1_pctAsian,,Q2_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,ELECTRIC,BELL-BUZZER/INTERCOM,RESIDENTIAL BUILDING,11213,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,,,,Q3_pctWhite,,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,RESIDENTIAL BUILDING,10456,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,Q1_pctAmericanIndian,,,,Q1_pctOther,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Housing Preservation and Development,PLUMBING,BATHTUB,RESIDENTIAL BUILDING,11385,RIDGEWOOD,Unspecified,,,,,,,,,,,,,,
Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Other (Explain Below),10452,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Transportation,Street Light Condition,Street Light Dayburning,,11209,BROOKLYN,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11221,BROOKLYN,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Condition,Pothole,,10309,STATEN ISLAND,Unspecified,,,,,,,,,,,,,,
New York City Police Department,Homeless Encampment,N/A,Street/Sidewalk,10003,NEW YORK,Unspecified,,Q3_pctFemale,,,,,Q3_pctAsian,,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,10467,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,Q1_pctAmericanIndian,Q1_pctAsian,Q1_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
BCC - Brooklyn North,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,11207,BROOKLYN,Unspecified,,,,,,,,,,,,,,
BCC - Manhattan,Sanitation Condition,12 Dead Animals,Sidewalk,10032,NEW YORK,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,Q1_pctAsian,,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Parks and Recreation,Maintenance or Facility,Hours of Operation,Park,10002,NEW YORK,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,Q3_pctAsian,Q1_pctWhite,,,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Bureau of Fire Prevention - Highrise Unit - Inspections,Fire Safety Director - F58,On Site Test,Street Address,10016,NEW YORK,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,Q2_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Buildings,Building/Use,Illegal. Commercial Use In Resident Zone,,11236,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,,,,Q1_pctWhite,Q2_pctBlack,,Q3_pctEthnicTotal,Q2_pctPermResidentAlien,Q2_pctUSCitizen,
Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11414,HOWARD BEACH,Unspecified,,,,,,,,,,,,,,
P - Brooklyn and Staten Island,Dirty Conditions,E12 Illegal Dumping Surveillance,Sidewalk,10310,STATEN ISLAND,Unspecified,,,,,,,,,,,,,,
Queens West 04,Sanitation Condition,12 Dead Animals,Sidewalk,11373,ELMHURST,Unspecified,,Q3_pctFemale,,,,,,Q3_pctWhite,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,3+ Family Apt. Building,10456,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,Q1_pctAmericanIndian,,,,Q1_pctOther,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
BCC - Brooklyn North,Sanitation Condition,12 Dead Animals,Sidewalk,11238,BROOKLYN,Unspecified,,,,,,,,,,,,,,
BCC - Brooklyn South,Sanitation Condition,12 Dead Animals,Sidewalk,11234,BROOKLYN,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,,Q2_pctWhite,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
BCC - Staten Island,Sanitation Condition,22 Weeds,Sidewalk,10301,STATEN ISLAND,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Condition,Cave-in,Street,11420,SOUTH OZONE PARK,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,,Q2_pctOther,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q3_pctRecPublicAssistance
Department of Transportation,Street Condition,Cave-in,Street,11361,BAYSIDE,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Condition,Cave-in,Street,11225,BROOKLYN,Unspecified,,Q3_pctFemale,,,,,,Q3_pctWhite,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,10472,BRONX,Unspecified,,,,,,,,,,,,,,
New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11373,ELMHURST,Unspecified,,Q3_pctFemale,,,,,,Q3_pctWhite,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11218,BROOKLYN,Unspecified,,Q3_pctFemale,Q1_pctMale,,Q1_pctLatino,,Q1_pctAsian,Q3_pctWhite,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Transportation,Traffic Signal Condition,Post,,11208,BROOKLYN,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Traffic Signal Condition,Warning Signal Lamp,,11432,JAMAICA,Unspecified,,Q3_pctFemale,,,,,Q2_pctAsian,,Q2_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
Department of Housing Preservation and Development,PAINT - PLASTER,WALLS,RESIDENTIAL BUILDING,11225,BROOKLYN,Unspecified,,Q3_pctFemale,,,,,,Q3_pctWhite,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Consumer Affairs,Consumer Complaint,Unlicensed,,10012,NEW YORK,Unspecified,,,,,,,,,,,,,,
Bronx 11,Sanitation Condition,12 Dead Animals,Sidewalk,10462,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,Q2_pctBlack,,Q3_pctEthnicTotal,,Q2_pctUSCitizen,Q3_pctRecPublicAssistance
Department of Health and Mental Hygiene,Rodent,Rat Sighting,Commercial Building,10475,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,Q1_pctWhite,Q2_pctBlack,,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11433,JAMAICA,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Broken Muni Meter,Parking Card Stuck in Meter,Street,10029,NEW YORK,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,,,,Q1_pctOther,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Transportation,Broken Muni Meter,Timer Defect - Fast/Fail,Street,10013,NEW YORK,Unspecified,,Q1_pctFemale,Q3_pctMale,,,,Q3_pctAsian,,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Parks and Recreation,Dead Tree,Dead/Dying Tree,Street,10467,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,Q1_pctAmericanIndian,Q1_pctAsian,Q1_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Environmental Protection,Internal Code,NOISE: AIR CONDITION/VENTILATION EQUIPMENT - FOR DEP INTERNAL USE ONLY (YNV1),,10039,NEW YORK,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,PLUMBING,SEWER,RESIDENTIAL BUILDING,10460,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,Q1_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,STAIRS,RESIDENTIAL BUILDING,11208,BROOKLYN,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,WINDOWS,RESIDENTIAL BUILDING,10462,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,Q2_pctBlack,,Q3_pctEthnicTotal,,Q2_pctUSCitizen,Q3_pctRecPublicAssistance
Department of Transportation,Street Light Condition,Street Light Out,,11375,FOREST HILLS,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,Q2_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Transportation,Street Condition,Pothole,,10458,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,Q1_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Transportation,Street Condition,Plate Condition - Shifted,Street,10016,NEW YORK,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,Q2_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Bureau of Fire Prevention - Alarm Unit - Inspections,Fire Alarm - New System,Existing Building,Street Address,10007,NEW YORK,Unspecified,,,Q3_pctMale,,,,Q3_pctAsian,,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q3_pctRecPublicAssistance
Department of Transportation,Street Condition,Pothole,,11208,BROOKLYN,Unspecified,,,,,,,,,,,,,,
Bureau of Fire Prevention - Highrise Unit - Inspections,Fire Safety Director - F58,On Site Test,Street Address,10019,NEW YORK,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Ferry Inquiry,Lost and Found,Ferry,,,Unspecified,,,,,,,,,,,,,,
New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,10036,NEW YORK,Unspecified,,Q3_pctFemale,,,,,Q2_pctAsian,,Q2_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q3_pctRecPublicAssistance
Department of Environmental Protection,Water System,No Water/Low Pressure (WA5),,11218,BROOKLYN,Unspecified,,Q3_pctFemale,Q1_pctMale,,Q1_pctLatino,,Q1_pctAsian,Q3_pctWhite,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Environmental Protection,Water System,No Water/Low Pressure (WA5),,11207,BROOKLYN,Unspecified,,,,,,,,,,,,,,
Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),,10016,NEW YORK,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,Q2_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),,10065,NEW YORK,Unspecified,,,,,,,,,,,,,,
Department of Environmental Protection,Water System,Hydrant Running Full (WA4),,10010,NEW YORK,Unspecified,,,,,,,,,,,,,,
Department of Environmental Protection,Water System,Hydrant Running (WC3),,11366,FRESH MEADOWS,Unspecified,,,,,,,,,,,,,,
Department of Environmental Protection,Water System,Hydrant Defective (WC2),,11379,MIDDLE VILLAGE,Unspecified,,,,,,,,,,,,,,
Department of Environmental Protection,Water System,Dirty Water (WE),,11377,WOODSIDE,Unspecified,,,,,,,,,,,,,,
Department of Environmental Protection,Sewer,Sewer Odor (SA2),,11419,SOUTH RICHMOND HILL,Unspecified,,,Q3_pctMale,,,,,,Q3_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11218,BROOKLYN,Unspecified,,Q3_pctFemale,Q1_pctMale,,Q1_pctLatino,,Q1_pctAsian,Q3_pctWhite,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11221,BROOKLYN,Unspecified,,,,,,,,,,,,,,
Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,10303,STATEN ISLAND,Unspecified,,,,,,,,,,,,,,
Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,11379,MIDDLE VILLAGE,Unspecified,,,,,,,,,,,,,,
Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,11375,FOREST HILLS,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,Q2_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,11435,JAMAICA,Unspecified,,,,,,,,,,,,,,
Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),,11222,BROOKLYN,Unspecified,,,,,,,,,,,,,,
Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),,11422,ROSEDALE,Unspecified,,,,,,,,,,,,,,
Department of Environmental Protection,Water System,Hydrant Running Full (WA4),,10010,NEW YORK,Unspecified,,,,,,,,,,,,,,
Department of Environmental Protection,Water System,Hydrant Running Full (WA4),,11694,ROCKAWAY PARK,Unspecified,,,,,,,,,,,,,,
Department of Environmental Protection,Water System,Hydrant Running Full (WA4),,10010,NEW YORK,Unspecified,,,,,,,,,,,,,,
Department of Environmental Protection,Water System,Hydrant Running Full (WA4),,10010,NEW YORK,Unspecified,,,,,,,,,,,,,,
Department of Environmental Protection,Water System,Hydrant Defective (WC2),,10010,NEW YORK,Unspecified,,,,,,,,,,,,,,
Department of Environmental Protection,Water System,Hydrant Defective (WC2),,10010,NEW YORK,Unspecified,,,,,,,,,,,,,,
Department of Environmental Protection,Water System,Hydrant Running Full (WA4),,11231,BROOKLYN,Unspecified,,,,,,,,,,,,,,
Department of Environmental Protection,Water System,Hydrant Defective (WC2),,10036,NEW YORK,Unspecified,,Q3_pctFemale,,,,,Q2_pctAsian,,Q2_pctBlack,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q3_pctRecPublicAssistance
Department of Transportation,Street Light Condition,Street Light Out,,11360,BAYSIDE,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Light Condition,Street Light Out,,,,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,ELECTRIC,ELECTRIC-WIRING,RESIDENTIAL BUILDING,10469,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,Q1_pctWhite,Q2_pctBlack,,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,PAINT - PLASTER,WALLS,RESIDENTIAL BUILDING,10458,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,Q1_pctWhite,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,PAINT - PLASTER,WALLS,RESIDENTIAL BUILDING,10468,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,Q1_pctAsian,,Q2_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,PAINT - PLASTER,WALLS,RESIDENTIAL BUILDING,10459,BRONX,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q2_pctLatino,,,,Q2_pctBlack,,Q3_pctEthnicTotal,Q2_pctPermResidentAlien,Q2_pctUSCitizen,Q2_pctRecPublicAssistance
